Radius	Rho	Mass	phi	Temp	Fe	O	Si	Mg	Ni	Ca	Al	S	Cr	Na	P	Mn	C	H	Total	Li
9.000000e-02	2.354053e+00	1.719736e-03	1.775748e+00	6.752389e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
9.500000e-02	2.352631e+00	2.021846e-03	1.774657e+00	6.727521e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.000000e-01	2.351133e+00	2.357282e-03	1.773507e+00	6.702654e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.050000e-01	2.349557e+00	2.727754e-03	1.772300e+00	6.677787e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.100000e-01	2.347904e+00	3.134964e-03	1.771033e+00	6.652920e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.150000e-01	2.346175e+00	3.580607e-03	1.769709e+00	6.628052e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.200000e-01	2.344368e+00	4.066370e-03	1.768326e+00	6.603185e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.250000e-01	2.342485e+00	4.593932e-03	1.766885e+00	6.578318e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.300000e-01	2.340525e+00	5.164965e-03	1.765386e+00	6.553450e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.350000e-01	2.338488e+00	5.781131e-03	1.763829e+00	6.528583e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.400000e-01	2.336374e+00	6.444083e-03	1.762214e+00	6.503716e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
1.450000e-01	2.334184e+00	7.155466e-03	1.760541e+00	6.478849e+03	8.550000e-01	0.000000e+00	6.000000e-02	0.000000e+00	5.200000e-02	0.000000e+00	0.000000e+00	1.900000e-02	9.000000e-03	0.000000e+00	2.000000e-03	3.000000e-03	2.000000e-03	6.000000e-04	9.997000e-01	1.850000e-06
