Radius	Rho	Mass	phi	Temp	H
7.300000e-01	1.000000e+00	3.890170e-01	1.036450e+00	5000	7.200000e-01
7.400000e-01	1.000000e+00	4.052240e-01	1.033800e+00	5000	7.200000e-01
7.500000e-01	1.000000e+00	4.218750e-01	1.031250e+00	5000	7.200000e-01
7.600000e-01	1.000000e+00	4.389760e-01	1.028800e+00	5000	7.200000e-01
7.700000e-01	1.000000e+00	4.565330e-01	1.026450e+00	5000	7.200000e-01
7.800000e-01	1.000000e+00	4.745520e-01	1.024200e+00	5000	7.200000e-01
7.900000e-01	1.000000e+00	4.930390e-01	1.022050e+00	5000	7.200000e-01
8.000000e-01	1.000000e+00	5.120000e-01	1.020000e+00	5000	7.200000e-01
8.100000e-01	1.000000e+00	5.314410e-01	1.018050e+00	340	7.200000e-01
8.200000e-01	1.000000e+00	5.513680e-01	1.016200e+00	340	7.200000e-01
8.300000e-01	1.000000e+00	5.717870e-01	1.014450e+00	340	7.200000e-01
8.400000e-01	1.000000e+00	5.927040e-01	1.012800e+00	340	7.200000e-01
8.500000e-01	1.000000e+00	6.141250e-01	1.011250e+00	340	7.200000e-01
8.600000e-01	1.000000e+00	6.360560e-01	1.009800e+00	340	7.200000e-01
8.700000e-01	1.000000e+00	6.585030e-01	1.008450e+00	340	7.200000e-01
8.800000e-01	1.000000e+00	6.814720e-01	1.007200e+00	340	7.200000e-01
8.900000e-01	1.000000e+00	7.049690e-01	1.006050e+00	340	7.200000e-01
9.000000e-01	1.000000e+00	7.290000e-01	1.005000e+00	340	7.200000e-01
9.100000e-01	1.000000e+00	7.535710e-01	1.004050e+00	340	7.200000e-01
9.200000e-01	1.000000e+00	7.786880e-01	1.003200e+00	340	7.200000e-01
9.300000e-01	1.000000e+00	8.043570e-01	1.002450e+00	340	7.200000e-01
9.400000e-01	1.000000e+00	8.305840e-01	1.001800e+00	340	7.200000e-01
9.500000e-01	1.000000e+00	8.573750e-01	1.001250e+00	340	7.200000e-01
9.600000e-01	1.000000e+00	8.847360e-01	1.000800e+00	340	7.200000e-01
9.700000e-01	1.000000e+00	9.126730e-01	1.000450e+00	340	7.200000e-01
9.800000e-01	1.000000e+00	9.411920e-01	1.000200e+00	340	7.200000e-01
9.900000e-01	1.000000e+00	9.702990e-01	1.000050e+00	340	7.200000e-01
